Cycle;active_ego;width_ego;length_ego;x_ego;y_ego;vx_ego;vy_ego;ax_ego;ay_ego;w_ego;active_1;width_1;length_1;x_1;y_1;vx_1;vy_1;ax_1;ay_1;w_1;active_2;width_2;length_2;x_2;y_2;vx_2;vy_2;ax_2;ay_2;w_2
52;1;1.899;5.289;10000.49531;-10.57571105;1.48660856;0.029778724;4.178601961;-0.082244845;0.020028636;1;1.885342708;5;9749.901171;-8.739457974;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.6944;-9.697736499;0.50981858;0.011975178;0.999644274;0.023480742;0.02348478
53;1;1.899;5.289;10000.51037;-10.57540555;1.527950473;0.030609012;4.084458786;-0.080433519;0.020030046;1;1.885342708;5;9750.157838;-8.739297116;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.6996;-9.697614399;0.519815022;0.012209986;0.999644274;0.023480742;0.02348478
54;1;1.899;5.289;10000.52583;-10.57509165;1.568221694;0.031418112;3.965065918;-0.078172713;0.020031549;1;1.885342708;5;9750.414505;-8.739136257;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.70489;-9.697489951;0.529811465;0.012444793;0.999644274;0.023480742;0.02348478
55;1;1.899;5.289;10000.5417;-10.5747696;1.607124022;0.032200093;3.812497299;-0.075293215;0.020033168;1;1.885342708;5;9750.671171;-8.738975398;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.71029;-9.697363155;0.539807908;0.0126796;0.999644274;0.023480742;0.02348478
56;1;1.899;5.289;10000.55794;-10.57443968;1.644468942;0.032951216;3.655264651;-0.072352029;0.020034922;1;1.885342708;5;9750.927838;-8.738814539;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.71579;-9.697234011;0.549804351;0.012914408;0.999644274;0.023480742;0.02348478
57;1;1.899;5.289;10000.57455;-10.57410221;1.680044056;0.033667243;3.44411909;-0.068341248;0.020036819;1;1.885342708;5;9751.184504;-8.73865368;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.72139;-9.697102519;0.559800793;0.013149215;0.999644274;0.023480742;0.02348478
58;1;1.899;5.289;10000.59151;-10.57375759;1.713415023;0.034339493;3.241546042;-0.064495004;0.020038867;1;1.885342708;5;9751.441171;-8.738492822;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.72709;-9.696968679;0.569797236;0.013384023;0.999644274;0.023480742;0.02348478
59;1;1.899;5.289;10000.6088;-10.57340625;1.74481542;0.034972642;3.027299912;-0.060390527;0.020041065;1;1.885342708;5;9751.697838;-8.738331963;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.73288;-9.696832491;0.579793679;0.01361883;0.999644274;0.023480742;0.02348478
60;1;1.899;5.289;10000.62639;-10.5730486;1.773958711;0.035560935;2.811305179;-0.056212253;0.020043405;1;1.885342708;5;9751.954504;-8.738171104;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.73878;-9.696693954;0.589790122;0.013853638;0.999644274;0.023480742;0.02348478
61;1;1.899;5.289;10000.64427;-10.57268511;1.801072249;0.036108905;2.606604431;-0.05221701;0.020045875;1;1.885342708;5;9752.211171;-8.738010245;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.74478;-9.69655307;0.599786564;0.014088445;0.999644274;0.023480742;0.02348478
